DeviceID	TimeStamp	DeviceType	CurrentStatus
Machine2	2015-04-09 11:06:53.056	Sensor	Motion exists	
Machine2	2015-04-09 11:07:03.068	Sensor	Motion exists	
Machine2	2015-04-09 11:07:13.079	Sensor	Motion exists	
Machine2	2015-04-09 11:07:23.091	Sensor	Motion exists	
Machine2	2015-04-09 11:07:33.099	Sensor	Motion exists	
Machine2	2015-04-09 11:07:43.113	Sensor	Motion exists	
Machine3	2015-04-09 11:15:21.436	Sensor	Door is Open	
Machine2	2015-04-09 11:35:12.377	Sensor	Motion exists	
Machine2	2015-04-09 11:35:13.309	Sensor	Motion exists	
Machine4	2015-04-09 11:35:14.806	Sensor	User Away from Home	
Machine2	2015-04-09 11:35:15.309	Sensor	Motion exists	
Machine4	2015-04-09 11:35:15.806	Sensor	User Away from Home	
Machine4	2015-04-09 11:35:16.807	Sensor	User Away from Home	
Machine4	2015-04-09 11:35:17.808	Sensor	User Present in Home	
Machine2	2015-04-09 11:35:18.31	Sensor	Motion exists	
Machine4	2015-04-09 11:35:18.809	Sensor	User Present in Home	
Machine4	2015-04-09 11:35:19.81	Sensor	User Present in Home	
Machine2	2015-04-09 11:35:20.316	Sensor	Motion exists	
Machine4	2015-04-09 11:35:20.811	Sensor	User Away from Home	
Machine4	2015-04-09 11:35:21.812	Sensor	User Away from Home	
Machine2	2015-04-09 11:35:22.313	Sensor	Motion exists	
Machine4	2015-04-09 11:35:22.813	Sensor	User Present in Home	
Machine4	2015-04-09 11:35:23.815	Sensor	User Present in Home	
Machine2	2015-04-09 11:35:24.318	Sensor	Motion exists	
Machine4	2015-04-09 11:35:24.815	Sensor	User Present in Home	
Machine2	2015-04-09 11:35:25.319	Sensor	Motion exists	
Machine4	2015-04-09 11:35:25.816	Sensor	User Away from Home	
Machine2	2015-04-09 11:35:26.319	Sensor	Motion exists	
Machine4	2015-04-09 11:35:26.819	Sensor	User Away from Home	
Machine4	2015-04-09 11:35:27.818	Sensor	User Away from Home	
Machine2	2015-04-09 11:35:28.324	Sensor	Motion exists	
Machine4	2015-04-09 11:35:28.819	Sensor	User Away from Home	
Machine4	2015-04-09 11:35:29.821	Sensor	User Present in Home	
Machine2	2015-04-09 11:35:30.322	Sensor	Motion exists	
Machine4	2015-04-09 11:35:30.821	Sensor	User Away from Home	
Machine2	2015-04-09 11:35:31.324	Sensor	Motion exists	
